Key,Vietnam,English
SignUp.User,Tên đăng nhập ...,User name ...
SignUp.Password,Mật khẩu ...,Your password ...
SignUp.Email,Địa chỉ email ...,Your email ...
SignUp.Login,Đăng nhập,Login
SignUp.Acc,Đã có tài khoản?,Have an account?
SignUp.Name,Họ và tên ...,Full name ...
